Bulan,Jumlah_Penumpang
1/2006,1243900
2/2006,926464
3/2006,1101505
4/2006,1106096
5/2006,1111419
6/2006,1153637
7/2006,1299089
8/2006,1212365
9/2006,1137579
10/2006,1108064
11/2006,1214827
12/2006,1336922
1/2007,1118194
2/2007,837616
3/2007,1087157
4/2007,1401130
5/2007,1270361
6/2007,1300861
7/2007,1448037
8/2007,1375295
9/2007,1164070
10/2007,1407932
11/2007,1379928
12/2007,1482713
1/2008,1290667
2/2008,1186462
3/2008,1333204
4/2008,1215594
5/2008,1254274
6/2008,1301687
7/2008,1411194
8/2008,1375796
9/2008,1124865
10/2008,1272817
11/2008,1297752
12/2008,1408930
1/2009,1223467
2/2009,1141581
3/2009,1374348
4/2009,1256152
5/2009,1465563
6/2009,1511951
7/2009,1584023
8/2009,1472095
9/2009,1364765
10/2009,1581650
11/2009,1548705
12/2009,1685554
1/2010,1494336
2/2010,1408514
3/2010,1625894
4/2010,1571598
5/2010,1674258
6/2010,1739898
7/2010,1892058
8/2010,1562762
9/2010,1727565
10/2010,1797834
11/2010,1720800
12/2010,2013453
1/2011,1732041
2/2011,1636771
3/2011,1872217
4/2011,1808518
5/2011,1870364
6/2011,2194532
7/2011,2196969
8/2011,1747907
9/2011,1945517
10/2011,1879566
11/2011,1984464
12/2011,2130898
1/2012,1968287
2/2012,1901999
3/2012,2182104
4/2012,2067591
5/2012,2169040
6/2012,2230954
7/2012,2168664
8/2012,2066281
9/2012,2144995
10/2012,2156000
11/2012,2181049
12/2012,2349984
1/2013,1992970
2/2013,1901735
3/2013,2280074
4/2013,2122271
5/2013,2294199
6/2013,2462857
7/2013,2103779
8/2013,2420194
9/2013,2237299
10/2013,2299214
11/2013,2257140
12/2013,2659153
1/2014,2223808
2/2014,1764314
3/2014,2240626
4/2014,1978522
5/2014,2411333
6/2014,2368205
7/2014,2077734
8/2014,2201743
9/2014,2155491
10/2014,2303315
11/2014,2197749
12/2014,2587692
1/2015,2007472
2/2015,1805062
3/2015,2044655
4/2015,2023388
5/2015,2196709
6/2015,2071358
7/2015,2304944
8/2015,2339375
9/2015,1961807
10/2015,2097838
11/2015,2102234
12/2015,2524941
1/2016,2273437
2/2016,2011539
3/2016,2244131
4/2016,2188344
5/2016,2415633
6/2016,2062084
7/2016,2460330
8/2016,2335783
9/2016,2176784
10/2016,2179287
11/2016,2176185
12/2016,2674911
1/2017,2283859
2/2017,2035911
3/2017,2407562
4/2017,2445382
5/2017,2397373
6/2017,2365878
7/2017,2690963
8/2017,2500681
9/2017,2381325
10/2017,2413853
11/2017,2506413
12/2017,2875602
1/2018,2365215
2/2018,2284250
3/2018,2632551
4/2018,2610700
5/2018,2353033
6/2018,2642080
7/2018,2776429
8/2018,2609192
9/2018,2477389
10/2018,2567661
11/2018,2450901
12/2018,2632707
1/2019,2193941
2/2019,2004299
3/2019,2234043
4/2019,2038574
5/2019,1855642
6/2019,2214584
7/2019,2425192
8/2019,2382196
9/2019,2278393
10/2019,2437609
11/2019,2461709
12/2019,2637704
1/2020,2226691
2/2020,1996234
3/2020,1399596
4/2020,208501
5/2020,36960
6/2020,188971
7/2020,450349
8/2020,603110
9/2020,532634
10/2020,637940
11/2020,870921
12/2020,987811
1/2021,556203
2/2021,512951
3/2021,710317
4/2021,744235
5/2021,641128
6/2021,912890
7/2021,295197
8/2021,363632
9/2021,607658
10/2021,876318
11/2021,1048885
12/2021,1288193
1/2022,1152129
2/2022,909392
3/2022,1369160
4/2022,1432805
5/2022,1869751
6/2022,1829522
7/2022,1866661
8/2022,1763843
9/2022,1756099
10/2022,1869088
11/2022,1862170
12/2022,2137273
1/2023,1888627
2/2023,1774580
3/2023,1989908
4/2023,1967206
5/2023,2180563
6/2023,2181857